run_id,timestamp_iso,arm,clip_id,seed,guidance_scale,target_class,guidance_schedule,deterministic,coc_text,coc_matched_baseline,min_ade,fde,trajectory_shift_l2,mean_xy_step_length,mean_norm_accel_from_pred_traj,mean_norm_kappa_from_pred_traj,notes
20260422T010225_0cad4f9e49,2026-04-22T01:02:25.934495+00:00,baseline,030c760c-ae38-49aa-9ad8-f5650a545d26,42,,0,none,false,[[['Nudge to the left to clear the construction equipment blocking the right side of our lane']]],,0.3729530870914459,2.1923060417175293,,0.7750434875488281,-0.1886124610900879,0.008699476718902588,pair_id=20260422T010220_572501392f sweep_id=20260422T010220_96122b7c4c sweep_mode=lambda_sweep
20260422T010225_40e18d3775,2026-04-22T01:02:25.934495+00:00,guided,030c760c-ae38-49aa-9ad8-f5650a545d26,42,0.0,0,all,false,[[['Nudge to the left to clear the construction equipment blocking the right side of our lane']]],true,0.3729530870914459,2.1923060417175293,0.0,0.7750434875488281,-0.1886124610900879,0.008699476718902588,pair_id=20260422T010220_572501392f sweep_id=20260422T010220_96122b7c4c sweep_mode=lambda_sweep
20260422T010230_26e12cb805,2026-04-22T01:02:30.419604+00:00,baseline,030c760c-ae38-49aa-9ad8-f5650a545d26,42,,0,none,false,[[['Nudge to the left to clear the construction equipment blocking the right side of our lane']]],,0.3729530870914459,2.1923060417175293,,0.7750434875488281,-0.1886124610900879,0.008699476718902588,pair_id=20260422T010225_ff2cff02a5 sweep_id=20260422T010220_96122b7c4c sweep_mode=lambda_sweep
20260422T010230_488281a4fa,2026-04-22T01:02:30.419604+00:00,guided,030c760c-ae38-49aa-9ad8-f5650a545d26,42,0.15,0,all,false,[[['Nudge to the left to clear the construction equipment blocking the right side of our lane']]],true,0.35854372382164,2.1299471855163574,0.027090633288025856,0.7740541696548462,-0.19391609728336334,0.008698652498424053,pair_id=20260422T010225_ff2cff02a5 sweep_id=20260422T010220_96122b7c4c sweep_mode=lambda_sweep
20260422T010234_42e2960eaf,2026-04-22T01:02:34.891171+00:00,baseline,030c760c-ae38-49aa-9ad8-f5650a545d26,42,,0,none,false,[[['Nudge to the left to clear the construction equipment blocking the right side of our lane']]],,0.3729530870914459,2.1923060417175293,,0.7750434875488281,-0.1886124610900879,0.008699476718902588,pair_id=20260422T010230_dae9cf0283 sweep_id=20260422T010220_96122b7c4c sweep_mode=lambda_sweep
20260422T010234_fb22a1ac7b,2026-04-22T01:02:34.891171+00:00,guided,030c760c-ae38-49aa-9ad8-f5650a545d26,42,0.3,0,all,false,[[['Nudge to the left to clear the construction equipment blocking the right side of our lane']]],true,0.3479991555213928,2.08262038230896,0.04687725380063057,0.7733026146888733,-0.19839274883270264,0.008703548461198807,pair_id=20260422T010230_dae9cf0283 sweep_id=20260422T010220_96122b7c4c sweep_mode=lambda_sweep
20260422T010239_8f27c70bfa,2026-04-22T01:02:39.543207+00:00,baseline,030c760c-ae38-49aa-9ad8-f5650a545d26,42,,0,none,false,[[['Nudge to the left to clear the construction equipment blocking the right side of our lane']]],,0.3729530870914459,2.1923060417175293,,0.7750434875488281,-0.1886124610900879,0.008699476718902588,pair_id=20260422T010234_bfe5ef8aa2 sweep_id=20260422T010220_96122b7c4c sweep_mode=lambda_sweep
20260422T010239_09d8a4a280,2026-04-22T01:02:39.543207+00:00,guided,030c760c-ae38-49aa-9ad8-f5650a545d26,42,0.8,0,all,false,[[['Nudge to the left to clear the construction equipment blocking the right side of our lane']]],true,0.3068143427371979,1.8832340240478516,0.13344420492649078,0.7701391577720642,-0.215168297290802,0.008655646815896034,pair_id=20260422T010234_bfe5ef8aa2 sweep_id=20260422T010220_96122b7c4c sweep_mode=lambda_sweep
20260422T013521_597a3263a6,2026-04-22T01:35:21.385349+00:00,baseline,030c760c-ae38-49aa-9ad8-f5650a545d26,42,,0,none,false,[[['Nudge to the left to clear the construction equipment blocking the right side of our lane']]],,0.3729530870914459,2.1923060417175293,,0.7750434875488281,-0.1886124610900879,0.008699476718902588,7.750435829162598,7.187000274658203,0.7966520712830253,0.024825572967529297,,,pair_id=20260422T013516_66d76ab3fc
20260422T013521_05558e0e38,2026-04-22T01:35:21.385349+00:00,guided,030c760c-ae38-49aa-9ad8-f5650a545d26,42,0.8,0,all,false,[[['Nudge to the left to clear the construction equipment blocking the right side of our lane']]],true,0.3068143427371979,1.8832340240478516,0.13344420492649078,0.7701391577720642,-0.215168297290802,0.008655646815896034,7.701390743255615,7.122768878936768,0.7837151713580459,0.024657487869262695,,,pair_id=20260422T013516_66d76ab3fc
