epoch,train_loss,val_mean_acc,val_acc_at_t095,lr
0,1.439608,0.669040,0.793249,3.000000e-04
1,1.100210,0.667722,0.799578,2.997226e-04
2,0.895793,0.668513,0.843882,2.988917e-04
3,0.784993,0.680907,0.837553,2.975105e-04
4,0.772943,0.674314,0.854430,2.955848e-04
5,0.773496,0.676688,0.831224,2.931225e-04
6,0.768739,0.668513,0.839662,2.901338e-04
7,0.689823,0.697257,0.850211,2.866308e-04
8,0.698146,0.679325,0.852321,2.826280e-04
9,0.696542,0.689873,0.839662,2.781419e-04
10,0.685523,0.669040,0.850211,2.731908e-04
11,0.711023,0.674314,0.833333,2.677952e-04
12,0.652431,0.681698,0.848101,2.619772e-04
13,0.685768,0.690928,0.845992,2.557606e-04
14,0.705113,0.703586,0.858650,2.491711e-04
15,0.668501,0.688819,0.856540,2.422357e-04
16,0.663689,0.694357,0.856540,2.349830e-04
17,0.635118,0.695939,0.862869,2.274427e-04
18,0.685953,0.698312,0.852321,2.196458e-04
19,0.684010,0.703586,0.869198,2.116243e-04
20,0.653688,0.687764,0.850211,2.034112e-04
21,0.696879,0.701213,0.867089,1.950403e-04
22,0.673038,0.693038,0.864979,1.865460e-04
